id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
AZO-2019-Q2-2019-02-26,9,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Good morning. And thank you for joining us today for AutoZone's 2019 Second Quarter Conference Call. With me today are Bill Giles, Executive Vice President and Chief Financial Officer; and Brian Campbell, Vice President, Treasurer, Investor Relations and Tax.",0.4515966,0.71
AZO-2019-Q2-2019-02-26,10,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Regarding the second quarter, I hope you've had an opportunity to read our press release and learned about the quarter's results. If not the press release, along with slides complementing our comments today are available on our website www.autozoneinc.com. Please click on Quarterly Earnings Conference Calls to see them.",0.016219,0.791
AZO-2019-Q2-2019-02-26,11,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","To begin this morning, I want to thank all AutoZoners across our organization for their dedication, hard work and for putting our customers first in everything they do again this quarter. Their efforts directly correlate to our success.",0.3172833,0.727
AZO-2019-Q2-2019-02-26,12,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","On the last earnings call, we were optimistic about our second quarter, but cautioned everyone about the inherent volatility the second quarter presents to us every single year. It is our lowest sales quarter. It has a couple of holidays that shift year-to-year and different weather patterns make our week-to-week sales quite volatile.",0.5620882,0.166
AZO-2019-Q2-2019-02-26,13,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","As we entered this winter, we knew we had a more normalized winter last year than the two years before. We also knew that the middle of the quarter last year was very strong due to harsh winter conditions.",0.3593512,0.176
AZO-2019-Q2-2019-02-26,14,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","This year, our sales were generally on plan for the first few weeks. Then they were materially softer in the middle of the quarter on both the one and two year basis. Then when the polar vortex arrived sales rebounded nicely to finish the quarter.",0.6315256,0.44
AZO-2019-Q2-2019-02-26,15,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","We wish we didn't have to focus so much on 'the weather' but in the second quarter in particular it really matters. Just to add an exclamation point, our weekly sales during the quarter had a variance of more than $40 million between the highest and lowest weeks.",0.2524075,-0.241
AZO-2019-Q2-2019-02-26,16,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","When it gets cold, certain products fail, like batteries. When cold is forecast, any freeze sales spike. When there's snow and ice plows tear off the roads and create potholes, which lead to other failures, and when the weather is mild, people do maintenance work like crate jobs.",0.488596,0.226
AZO-2019-Q2-2019-02-26,17,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","While the cold temperatures didn't come until the latter half of January, they came and our business responded. Was the cold enough to have lingering benefits? Yes to some extent, and the lingering effects usually come more from the maintenance side like brake systems, chassis and the like.",0.3973644,0.772
AZO-2019-Q2-2019-02-26,18,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","As spring begins to arrive, so do tax refunds. We've begun to see some customers using their refunds in our stores in the last few weeks. But there is a significant speculation in the media and market on whether or not the total refund dollars will be similar to last year or not. We've seen conflicting reports, but regardless, we are ready to help our customers leverage those refunds to ensure their vehicles are performing well.",0.5960466,0.931
AZO-2019-Q2-2019-02-26,19,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Now let's focus on the two different customer bases we serve, DIY and DIFM. We previously mentioned that our DIY market share gains were strong in the first half of last fiscal year and that growth materially subsided in the second half.",0.1642169,0.859
AZO-2019-Q2-2019-02-26,20,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","During the first half of this year, our market share has continued to grow and improved slightly, which we consider encouraging as we are lapping the large gains we made this time last year.",0.6964014,0.878
AZO-2019-Q2-2019-02-26,21,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","While DIY same store sales were slightly positive for the second quarter and for the year-to-date, we are optimistic that business can continue to grow for the remainder of the year.",0.4389255,0.682
AZO-2019-Q2-2019-02-26,22,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Our optimism comes from the parts and staffing initiatives we have in place. If you recall this time last year, we had several major product category conversions underway and several of them did not go as planned. This year we are in much better shape as we enter the selling season. And we have intensified our focus on enhancing the customer service experience.",0.3699949,0.751
AZO-2019-Q2-2019-02-26,23,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","As part of our effort, we made meaningful pay adjustments to our most tenured hourly AutoZoners to ensure that they are compensated appropriately. We feel we are well positioned as we enter our peak selling period.",0.9553979,0.681
AZO-2019-Q2-2019-02-26,24,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Regarding commercial, our sales growth eclipsed last quarter's double-digit gains ending up 12.9%, marking the fourth consecutive quarter of accelerating growth. We are excited about, but not surprised by this growth acceleration. We have been steadily building a stronger foundation and our customers are continuing to notice, recognize and reward those improvements.",0.4673087,0.957
AZO-2019-Q2-2019-02-26,25,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Over the last several years, we have substantially improved our inventory availability. We have worked diligently to enhance the quality of the parts and products we sell. Many under the Duralast name.",0.7151546,0.526
AZO-2019-Q2-2019-02-26,26,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Our sales force is becoming more tenured and effective and most notably recently we have been increasing the engagement of the local store teams, particularly the store manager and district manager, and we feel well-positioned to continue strong growth for the balance of the year.",0.1201216,0.906
AZO-2019-Q2-2019-02-26,27,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Overall, we are encouraged as we head into the back half of the year. We are focused on flawlessly executing on the initiatives we have in place. While we have invested more on our AutoZoners and more in our systems, we have done so with the objective of improving customer facing activities. Our execution is improving as we intensify our focus on the customer.",0.392296,0.889
AZO-2019-Q2-2019-02-26,28,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","As I mentioned the last quarter's earnings call, our annual operating theme for 2019 is focused on drive for excellence. A relentless focus on what matters to our customers, exceptional service, fast deliveries, high quality parts and products, flawless execution, changes in product assortments and store merchandising and on and on. We are focused on reducing non-selling tasks in our stores in order to reallocate that time, talent and attention to sales activities.",0.6862646,0.94
AZO-2019-Q2-2019-02-26,29,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","Tariffs have been a hot topic of late, so we'd like to address their impact on us. The initial tariffs on raw materials weren't significant. The 10% tariffs were expanded to broader and broader categories.",0.1490117,0.554
AZO-2019-Q2-2019-02-26,30,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","We did not see a material cost increase from these tariffs in fiscal 2018, because we were able to negotiate and offset some of the tariffs based on the strength of the U.S. dollar. Looking forward, the U.S. has agreed to postpone plans to increase tariffs from 10% to 25% until later.",0.6289914,0.791
AZO-2019-Q2-2019-02-26,31,Remarks,2019-02-26,2,2019,William C. Rhodes,"Chairman, President & Chief Executive Officer","At this point, we are waiting like you are. We will continue to monitor developments closely and working with our industry associations to share our concerns about the potential negative ramifications of ongoing and increased tariffs to our customers and the broader economy.",0.3411049,0.273
