id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
CI-2021-Q1-2021-05-07,11,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","Thanks, Alexis. Good morning, everyone, and thank you for joining us on our call today. But today's we meet our environment remains highly dynamic with COVID-19 continues to affect the world, our industry and our economy. At Cigna, this rapidly changing landscape has only reinforced the tremendous responsibility we have to improve the health, wellbeing and peace of mind of those we serve.",1.3365721,0.949
CI-2021-Q1-2021-05-07,12,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","This remains the primary focus that drives our 70,000 co-workers each and every day. And it's the reason we work to continue to deliver for our customers, clients, patients, partners and our communities, all while delivering strong financial results for you, our shareholders.",2.6062962,0.511
CI-2021-Q1-2021-05-07,13,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","During the first quarter, we delivered adjusted revenue of $41 billion and adjusted EPS of $4.73 per share. We also deployed significant capital to our investors through share repurchase and the payment of a meaningful quarterly dividend, reinforcing the strength of our capital like framework.",0.3000389,0.904
CI-2021-Q1-2021-05-07,14,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","Building on our conversation from several weeks ago at our Investor Day, today, I'm going to talk more about how we are continuing to navigate through the current environment to balance and meet the needs of all of our stakeholders, our ability to consistently deliver strong results by executing on a growth framework and the competence we have in achieving our increased outlook by delivering differentiated and sustained growth for the long term.",0.2677808,0.898
CI-2021-Q1-2021-05-07,15,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","Then Brian will share more details about our first quarter results and our 2021 outlook. And after that, we'll take your questions. Since we last met at our Investor Day in March, the macro landscape remains fluid. In the U.S. proposed legislation as well as regulation and executive actions to expand extend and further support both public and private programs.",0.6436067,0.84
CI-2021-Q1-2021-05-07,16,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","Globally, social and political tensions remain high as COVID-19 with its multiple variants continue to take a toll on a number of countries, such as India, where cases have again dramatically spiked. All these forces are shaping healthcare and influencing the political and economic landscape around the world.",1.8764089,-0.34
CI-2021-Q1-2021-05-07,17,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","At Cigna, we are navigating through this environment by continue to innovate for and support our stakeholders with COVID-19 services, while also executing other strategies to make healthcare more affordable, predictable and simple",0.585309,0.71
CI-2021-Q1-2021-05-07,18,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","For U.S. commercial customers, we're ensuring they get the preventative care they need, including mammographies, colonoscopies, cervical cancer screenings, and childhood immunizations, which today are consistent with pre pandemic levels, reflecting the continued strength of our clinical programs, and proven engagement capabilities.",0.6000777,0.727
CI-2021-Q1-2021-05-07,19,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","Within Evernorth, for those customers served by Express Scripts home delivery, we've delivered further improvements in medication adherence for people with diabetes, high cholesterol and high blood pressure. At the same time, we're also supporting the mental wellbeing of our customers. We're doing this through our own best-in-class capabilities where for example, we engage with oncology patients with comorbidities by spending an average of $2,000 on their behavioral health care, we can save an average of $20,000 in avoidable costs.",0.4966965,0.896
CI-2021-Q1-2021-05-07,20,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","And we can innovate and leverage our strategic partnerships, including, for example, with Ginger, through Cigna ventures, which provides industry leading on demand 24x7 behavioral health coach and further extending our behavioral health access for the benefit of our customers.",1.8853478,0.691
CI-2021-Q1-2021-05-07,21,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","We're also leveraging data in actionable intelligence to understand the most common long term complications of COVID-19 infection, then building predictive models to determine who is at greatest risk of becoming a COVID law hauler, so we can quickly provide targeted case management and behavioral health services, as well as other resources to help our customers regain their health.",0.609794,0.875
CI-2021-Q1-2021-05-07,22,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","For our clients, we're serving as a trusted partner. by supplying additional physical and behavioral health assistance to aid in the recovery for employees who are infected by COVID-19. We're helping employers build their own communities of immunity by assisting them in launching vaccination clinics. And we're collecting our data and analytics help employers determine when and how it is safe for employees to return to work.",0.8064516,0.772
CI-2021-Q1-2021-05-07,23,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","For provider partners, we're working to guide people to the most effective sites of care and further closing gaps in care with our clinical teams and our virtual capabilities. For coworkers, we're supporting them in this highly disruptive environment by for example, providing $200 incentive for co-workers who choose to become vaccinated for COVID-19 and continuing to offer expanded leave capabilities with our emergency time off program to provide flexibility necessitated by the current conditions.",0.2817723,0.904
CI-2021-Q1-2021-05-07,24,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","And finally, for our communities, we're taking steps to address social determinants of health. For example, we all know the alarming statistics on the disproportionate impact COVID-19 has had on communities of color. As part of our safe initiative, we brought additional underground resources to target communities by launching COVID-19 awareness campaigns, distributing PP&E kits, dispatching our health improvement mobile resources to help you administer free flu shots and provide healthy meal, as well as other support.",0.8830159,0.936
CI-2021-Q1-2021-05-07,25,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","Similarly, we're leaning in to fight breast cancer with disparities, for example, well, amongst black women remain startling, tough to address this disparity gap, we again went directly into communities. Starting in Tennessee, for example, where we collaborated with local partners to offer mobile mammography vans at churches, and at other local neighborhood locations.",1.0217645,-0.727
CI-2021-Q1-2021-05-07,26,Remarks,2021-05-07,1,2021,David Michael Cordani,"President, Chief Executive Officer & Director","At Cigna, balancing the needs of our stakeholders is deeply rooted in our corporate purpose. We constantly challenge ourselves by asking the basic question, what more could we do to help us stay focused on delivering each and every day for the benefit of our customers, our clients, patients and our partners.",1.5410027,0.823
