id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
CMS-2019-Q4-2020-01-30,7,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","Thanks, Sri. Thank you, everyone, for joining us on our year-end earnings call. This morning I'll share our financial results for 2019 and our 2020 outlook. I'll discuss the roll forward of our five year capital plan and provide an update on key regulatory matters.",0.0519187,0.772
CMS-2019-Q4-2020-01-30,8,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","Rejji will add more details on our financial results as well as the look ahead to 2020 and beyond. And of course, we look forward to the Q&A. For 2019 I'm excited to report adjusted earnings of $2.49 per share. We were able to achieve another year of adjusted 7% EPS growth despite record storms and a variety of headwinds throughout the year.",0.8950339,0.807
CMS-2019-Q4-2020-01-30,9,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","Thanks to our unique operational capabilities that enabled us to adapt to changing conditions by managing the work and driving out costs through our lean operating system to CE Way. With 2019 results in the books we're raising the lower end of our 2020 adjusted EPS guidance from $2.63 to $2.64, giving us a range of $2.64 to $2.68 with a bias to the midpoint, which is up 6% to 8% from the actual result we achieved in 2019.",0.5617946,0.402
CMS-2019-Q4-2020-01-30,10,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","As we roll our plan forward one year, it reflects an additional $0.5 billion in our five year capital plan at the utility which supports our long term annual adjusted EPS and dividend growth of 6% to 8%. And is in line with our previously announced 10 year $25 billion customer investment plan.",0.7734199,0.625
CMS-2019-Q4-2020-01-30,11,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","Well, there's been a lot of recent discussion around ESV it's a topic that is not new to us. Our continued success at CMS is driven by our commitment to deliver on the triple bottom line of people planet and profit. We don't trade one for the other.",0.4655756,0.883
CMS-2019-Q4-2020-01-30,12,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","So while 2019 marked our 17th year of industry leading EPS growth, it was also a remarkable year for our commitment to people, our customers and coworkers and our planet. Our customers awarded us our highest JD Power customer satisfaction scores ever and named us number one in the Midwest residential gas.",0.6693002,0.929
CMS-2019-Q4-2020-01-30,13,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","Those satisfied customers were served by a highly engaged and diverse workforce. Our accomplishments on the planet include reaching a settlement in our integrated resource plan, the announcement of our net zero methane emissions goal by 2030 for our gas delivery system, and restoring over 1500 acres of land in our home state.",0.4794018,0.831
CMS-2019-Q4-2020-01-30,14,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","Our ability to meet our triple bottom line is underpinned by World Class performance. And we delivered our best ever customer on time delivery metric, eliminated more than $20 million of waste to the implementation of the CE Way, settled our electric rate case for only the second time in our history and received a gas rate case order that allows us to invest significantly in the safety and reliability of our large and aging gas system.",0.9303047,0.758
CMS-2019-Q4-2020-01-30,15,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director","Although 2019 has been another excellent year of solid performance and record achievements, we are still dissatisfied. We'll continue to keep improving as we work to deliver our financial and operational commitments year after year.",0.5685666,0.718
CMS-2019-Q4-2020-01-30,16,Remarks,2020-01-30,4,2019,Patricia K. Poppe,"President, Chief Executive Officer & Director",Now every year you'll see the ups and downs that come our way as illustrated on slide six. And every year our unique capability of adapting to changing conditions enables us to deliver the results you expect year in and year out.,0.8256208,0.0
