id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
DGX-2018-Q2-2018-07-24,3,Remarks,2018-07-24,2,2018,Shawn Bevec,Executive Director-Investor Relations,"Thank you, and good morning. I'm here with Steve Rusckowski, our Chairman, President and Chief Executive Officer; and Mark Guinan, our Chief Financial Officer.",0.3847579,0.66
DGX-2018-Q2-2018-07-24,4,Remarks,2018-07-24,2,2018,Shawn Bevec,Executive Director-Investor Relations,"During this call, we may make forward-looking statements and will discuss non-GAAP measures. Actual results may differ materially from those projected. Risks and uncertainties that may affect Quest Diagnostics' future results include, but are not limited to, those described in our most recent annual report on Form 10-K and subsequently filed quarterly reports on Form 10-Q and current reports on Form 8-K.",0.2934639,-0.065
DGX-2018-Q2-2018-07-24,5,Remarks,2018-07-24,2,2018,Shawn Bevec,Executive Director-Investor Relations,"For this call, references to reported EPS refer to reported diluted EPS and references to adjusted EPS refer to adjusted diluted EPS, excluding amortization expense. As a reminder, adjusted diluted EPS excludes excess tax benefits associated with stock-based compensation. Additionally, net revenues and selling, general and administrative expenses have been restated for the basis of prior-year comparisons to reflect the impact of the new revenue recognition standard that became effective January 1, 2018, and were adopted on a retrospective basis.",0.4763165,0.743
DGX-2018-Q2-2018-07-24,6,Remarks,2018-07-24,2,2018,Shawn Bevec,Executive Director-Investor Relations,"Under the new rules, the company now reports uncollectible balances associated with patient responsibility as a reduction in net revenues when historically these amounts were classified as bad debt expense within selling, general and administrative expenses.",0.4710241,-0.791
DGX-2018-Q2-2018-07-24,8,Remarks,2018-07-24,2,2018,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer","Thanks, Shawn and thanks everyone for joining us today. This morning I'll provide you with the highlights on the quarter and review progress on our 2-point strategy, which continues to drive results. And then Mark will provide more detail on second quarter performance.",0.1983526,0.823
DGX-2018-Q2-2018-07-24,9,Remarks,2018-07-24,2,2018,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer","The highlight of the quarter was establishing, our long-term strategic partnership with UnitedHealthcare, I'll share more on this relationship in a few minutes. We delivered strong earnings growth in the quarter driven by revenue growth and the benefits of tax reform. Here are some key highlights from the quarters; revenues were up 3%, despite some headwinds in the marketplace, reported EPS was up more than 14% from 2017, the adjusted EPS grew more than 20%.",0.1904448,0.929
DGX-2018-Q2-2018-07-24,10,Remarks,2018-07-24,2,2018,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer","Before I describe the progress we've made, I like to provide an update on PAMA. We continue to support efforts by our trade association to implement a market-based laboratory reimbursement schedule. On the legal front, ACLA has sued CMS, and both sides have submitted their briefs to the court, we're awaiting the judge to rule on the briefs or set the date to hear or oral arguments. In the meantime, we continue our outreach efforts to find the legislative solution.",0.3551895,0.848
DGX-2018-Q2-2018-07-24,11,Remarks,2018-07-24,2,2018,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer","Earlier this month we were pleased to learn that CMS is asking stakeholders to provide comments and also improve future data collection and reporting periods on their PAMA. This is a proper step since as we said all along, PAMA's current reporting requirements undermine any effort to establish a sustainable market-based PAMA model and deliver the care that patients need. But the key will be what CMS does with the requested comments. And moreover the need for change is now. Changing data collection for the future reported periods does not undo the harm caused by the flawed data collection process that was used in connection with establishing the current rates.",0.1650741,0.864
DGX-2018-Q2-2018-07-24,12,Remarks,2018-07-24,2,2018,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer","Turning to the second quarter, we delivered on all five elements of our strategy to accelerate growth. The first element of our growth strategy is to grow 1% to 2% through strategically aligned accretive acquisitions. We completed our previously announced acquisition of the outreach laboratory services business of Cape Cod Healthcare in Massachusetts the leading provider of healthcare services for residents and visitors of Cape Cod. Our integration efforts from acquisitions completed in 2017, continue to drive revenue growth and our M&A pipeline remain strong.",0.4260297,0.904
DGX-2018-Q2-2018-07-24,13,Remarks,2018-07-24,2,2018,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer","As we continued our conversations with hospital system CEO's from around the country, it's clear from those discussion there is a growing awareness of PAMA and the impact it has on their outreach laboratory business. CEO's are increasingly interested in talking more about how we can help them execute their last strategy. As you recall, this can involve improving their hospital lab operations, working with us on reference testing and potentially selling their outreach laboratory business to us.",0.0477759,0.929
