id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
DHI-2021-Q4-2021-11-09,2,Remarks,2021-11-09,4,2021,Jessica L. Hansen,Vice President-Investor Relations & Communications,"Thank you, Tom, and good morning. Welcome to our call to discuss our fourth quarter and fiscal 2021 financial results. Before we get started, today's call includes comments that constitute forward-looking statements as defined by the Private Securities Litigation Reform Act of 1995. Although D.R. Horton believes any such statements are based on reasonable assumptions, there is no assurance that actual outcomes will not be materially different. All forward-looking statements are based upon information available to D.R. Horton on the date of this conference call and D.R. Horton does not undertake any obligation to publicly update or revise any forward-looking statements.",0.579974,0.84
DHI-2021-Q4-2021-11-09,3,Remarks,2021-11-09,4,2021,Jessica L. Hansen,Vice President-Investor Relations & Communications,"Additional information about factors that could lead to material changes in performance is contained in D.R. Horton 's Annual Report on Form 10-K and subsequent reports on Form 10-Q, all of which are or will be filed with the Securities and Exchange Commission. This morning's earnings release can be found on our website at investor. drhorton.com and we plan to file our 10-K towards the end of next week. As referenced in our press release, we realigned the aggregation of our home-building operating segments into 6 new reportable segments this quarter to better allocate our home-building operating segments across our geographic reporting regions.",0.5457304,0.625
DHI-2021-Q4-2021-11-09,4,Remarks,2021-11-09,4,2021,Jessica L. Hansen,Vice President-Investor Relations & Communications,"As a result, in addition to our standard updated investor and supplementary data presentations, we will also be posting to our Investor Relations site, 3 years of quarterly sales, closings, backlog, homes, and lock data that conforms to our new geographic region presentation. All of this can be found at investor. drhorton.com on the Presentations section under News and Events, for your reference. Now, I will turn the call over to David Auld, our President and CEO.",0.6384915,0.0
DHI-2021-Q4-2021-11-09,5,Remarks,2021-11-09,4,2021,David V. Auld,President & Chief Executive Officer,"Thank you, Jessica, and good morning. I am pleased to also be joined on this call by Mike Murray, our Executive Vice President and Co-Chief Operating Officer, and Bill Wheat, our Executive Vice President and Chief Financial Officer. Today, we also have Paul Romanowski with us, who was recently promoted to Executive Vice President and Co-Chief Operating Officer. Paul has been with D.R. Horton since 1999 serving as our Florida South Division President for 15 years, and most recently, as our Florida Region President for 7 years. I'd like to take a brief moment to have Paul introduce himself before we get started, Paul.",0.0573297,0.912
DHI-2021-Q4-2021-11-09,7,Remarks,2021-11-09,4,2021,David V. Auld,President & Chief Executive Officer,"Thank you, Paul. Given that Paul is new to his role, he will not be an active participant today, but we are glad to have him with us and believe his extensive home building experience will strengthen our executive team. The D.R. Horton team finished the year with a strong fourth quarter, which included a 63% increase in consolidated pre -tax income to $1.7 billion and a 27% increase in revenue to $8.1 billion. Our pre -tax profit margin for the quarter improved 480 basis points to 21.3%, and our earnings per diluted share increased 65% to $3.70. For the year, consolidated pre -tax income increased 80% to $5.4 billion on a $27.8 billion of revenue.",0.0573297,0.987
DHI-2021-Q4-2021-11-09,8,Remarks,2021-11-09,4,2021,David V. Auld,President & Chief Executive Officer,"Our pre -tax profit margin for the year improved 460 basis points to 19.3%, and our earnings per diluted share increased 78% to $11.41. We closed a record 81,965 homes this year, an increase of over 16,500 homes or 25% from last year, while also achieving a historical low home building SG&A percentage of 7.3%. Our home building return on inventory was 37.9%, and our return on equity was 31.6%, these results reflect our experienced teams in their production capabilities. Our ability to leverage D.R. Horton scale across our broad geographic footprint, and our product positioning to offer homes at affordable price points across multiple brands. Our home-building cash flow from operations for 2021 was $1.2 billion.",0.2462486,0.896
DHI-2021-Q4-2021-11-09,9,Remarks,2021-11-09,4,2021,David V. Auld,President & Chief Executive Officer,"Over the past 5 years, we have generated $5.9 billion of cash flow from homebuilding operations. While growing our consolidated revenues by 128% and our earnings per share by 383%. During this time, we also more than doubled our book value per share, reduced our homebuilding leverage 220%, and increased our homebuilding liquidity by $2.8 billion, all while significantly increasing our returns on inventory and equity. Market conditions remain very robust and we are focused on maximizing returns and increasing our market share further. However, there are still significant challenges in the supply chain, including shortages in certain building materials and tightness in the labor market.",0.5540593,0.949
DHI-2021-Q4-2021-11-09,10,Remarks,2021-11-09,4,2021,David V. Auld,President & Chief Executive Officer,"As a result, we continued restricting our home sales base during the fourth quarter by selling homes later in the construction cycle to align with our production levels and better ensure certainty of home closing date for our homebuyers. We expect to approve the supply chain challenges and ultimately increase our production capacity. After starting construction on 22,400 homes this quarter, our homes in inventory increased 26% from a year ago to 47,800 homes at September 30th, 2021. In October, we started more than 8,000 homes, further positioning us to achieve double-digit growth again in 2022. We believe our strong balance sheet, liquidity and low leverage position holds very well to operate effectively through changing economic conditions. We plan to maintain our flexible operational and financial position by generating strong cash flows from our homebuilding operations and managing our product offerings, incentives, home pricing, sales pace, and inventory levels to optimize our returns. Mike.",0.2366295,0.979
DHI-2021-Q4-2021-11-09,11,Remarks,2021-11-09,4,2021,Michael J. Murray,Chief Operating Officer & Executive Vice President,"Diluted earnings per share for the fourth quarter of fiscal 2021 increased 65% to $3.70 per share, and for the year, diluted earnings per share increased 78% to $11.41. Net income for the quarter increased 62% to $1.3 billion and for the year, net income increased 76% to $4.2 billion. Our fourth quarter home sales revenues increased 24% to $7.6 billion on 21,937 homes closed, up from $6.1 billion on 20,248 homes closed in the prior year. Our average closing price for the quarter was $346,100, up 14% from last year. And the average size of our homes closed was down 1%, Bill?",0.5336961,0.92
DHI-2021-Q4-2021-11-09,12,Remarks,2021-11-09,4,2021,Bill W. Wheat,"CFO, Principal Accounting Officer & Executive VP","Net sales orders in the fourth quarter decreased 33% to 15,949 homes, and the value of those orders was $6 billion down 17% from $7.3 billion in the prior year. A year ago, our fourth quarter net sales orders were up 81% due to the surgeon housing demand during the first year of the pandemic when we had significantly more completed homes available to sell and prior to the supply chain challenges that arose in 2021. Our average number of active selling communities decreased 5% from the prior year and was down 3% sequentially. Our average sales price on net sales orders in the fourth quarter was $378,300, up 23% from the prior year. The cancellation rate for the fourth quarter was 19%, flat with the prior-year quarter.",0.4588902,0.637
DHI-2021-Q4-2021-11-09,13,Remarks,2021-11-09,4,2021,Bill W. Wheat,"CFO, Principal Accounting Officer & Executive VP","As David described, new home demand remains very strong and our local teams are continuing to restrict our sales order pace where necessary on a community-by-community basis based on the number of homes in inventory, construction times, production capacity, and lock position. They also continue to adjust sales prices to market while staying focused on providing value to our buyers. We are still restricting the pace of our sales orders during our first fiscal quarter, but to a lesser extent than during our fourth quarter.",0.2162819,0.272
DHI-2021-Q4-2021-11-09,14,Remarks,2021-11-09,4,2021,Bill W. Wheat,"CFO, Principal Accounting Officer & Executive VP","As a result, we expect our first quarter net sales orders to be approximately equal to or slightly higher than our 20,418 sales orders in the first quarter last year. Our October net sales order volume was in line with our plans and we remain confident that we are well-positioned to deliver double-digit volume growth in fiscal 2022, with 26,200 homes in backlog, 47,000 homes in inventory, a robust lot supply, and strong trade and supplier relationships. Jessica?",0.3928716,0.889
DHI-2021-Q4-2021-11-09,15,Remarks,2021-11-09,4,2021,Jessica L. Hansen,Vice President-Investor Relations & Communications,"Our gross profit margin on home sales revenue in the fourth quarter was 26.9% up 100 basis points sequentially from the June quarter. The increase in our gross margin from June to September reflects the broad strength of the housing market and benefited from the better alignment of our sales order pace to our construction schedules. The strong demand for a limited supply of homes has allowed us to continue to raise prices or lower the level of sales incentives in most of our communities. On a per square foot basis, our revenues were up 7% sequentially, while our stick-and-brick cost per square foot increased 7.5%, and our lot cost increased 2%.",0.4100564,0.852
DHI-2021-Q4-2021-11-09,16,Remarks,2021-11-09,4,2021,Jessica L. Hansen,Vice President-Investor Relations & Communications,"We expect both our construction and lot costs will continue to increase. However, with the strength of today's market conditions, we expect to offset any cost pressures with price increases. We currently expect our home-sales gross margin in the first quarter to be similar to the fourth quarter. We remain focused on managing the pricing, incentives and sales pays in each of our communities to optimize the return on our inventory investments, and adjust to local market conditions and new home demand. Bill.",0.2839185,0.772
DHI-2021-Q4-2021-11-09,17,Remarks,2021-11-09,4,2021,Bill W. Wheat,"CFO, Principal Accounting Officer & Executive VP","In the fourth quarter, homebuilding SG&A expense, as a percentage of revenues was 6.9% down 70 basis points from 7.6% in the prior year quarter. For the year, homebuilding SG&A expense was 7.3% down 80 basis points from 8.1% in 2020. Our homebuilding SG&A expense, as a percentage of revenues, is at its lowest point for a quarter and for a year in our history. And we are focused on continuing to control our SG&A while ensuring that our infrastructure adequately supports our business. David?",0.4021871,0.557
DHI-2021-Q4-2021-11-09,18,Remarks,2021-11-09,4,2021,David V. Auld,President & Chief Executive Officer,"We have increased our housing inventory and response to the strength of demand, and are focused on expanding our production capabilities further. We started 22,400 homes during the fourth quarter and 91,500 homes during fiscal 2021, which is an increase of 21% compared to fiscal 2020. We ended the year with 47,800 homes in inventory, up 26% from a year ago. 21,700 of our total homes at September 30th were unsold, of which 900 were completed. Although we have not seen significant improvement in the supply chain yet we expect the current constraints to ultimately moderate at some point in 2022. Mike?",0.3555214,0.684
DHI-2021-Q4-2021-11-09,19,Remarks,2021-11-09,4,2021,Michael J. Murray,Chief Operating Officer & Executive Vice President,"At September 30th, our homebuilding lot position consisted of approximately 530,000 lots of which 24% were owned and 76% were controlled through purchase contracts. 24% of our total owned lots are finished and at least 47% of our controlled lots are or will be finished when we purchase them. Our growing in capital efficient lot portfolio is key to our strong competitive position and will support our efforts to increase our production volume to meet home-buyer demand. Our fourth quarter home-building investments in lot, land, and development totaled $1.8 billion, of which $1 billion was for finished lots, $330 million was for land, and $440 million was for land development. Bill.",0.113018,0.9
DHI-2021-Q4-2021-11-09,20,Remarks,2021-11-09,4,2021,Bill W. Wheat,"CFO, Principal Accounting Officer & Executive VP","Forestar, our majority-owned subsidiary is a publicly traded well-capitalized residential lot manufacturer, operating in 56 markets across 23 states. Forestar continues to execute extremely well on its high-growth plan, as they increase their lots sold by 53% to 15,915 lots during fiscal 2021, compared to the prior year. Forestar 's pre -tax profit margin for the year improved 400 basis points to 12.4%, excluding an $18.1 million loss on extinguishment of debt.",0.5236938,0.709
