id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
HAL-2019-Q2-2019-07-22,8,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","Thank you, Abu. Good morning everyone. Commodity markets navigated some choppy waters during the second quarter. On the one hand, there are global oil demand concerns largely attributed to the uncertainties surrounding the outcome of the U.S.-China trade talks.",2.0853116,0.691
HAL-2019-Q2-2019-07-22,9,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","On the other hand, oil prices have recently been buoyed by supply side reaction to the extension of OPEC plus production cuts, ongoing output declines in Venezuela, U.S. sanctions on Iranian oil exports, and political instability in Libya and Sudan.",2.2551929,0.25
HAL-2019-Q2-2019-07-22,10,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","Against this backdrop, Halliburton's execution in the second quarter was outstanding and I am very pleased with our results. We continue to build on the growth momentum internationally and successfully managed the market dynamics in North America.",2.4080119,0.934
HAL-2019-Q2-2019-07-22,11,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","Before we dive into the details, here are a few highlights for the second quarter. Total company revenue was $5.9 billion and adjusted operating income was $550 million, representing increases of 3% and 29% respectively compared to the first quarter of 2019.",1.8646142,0.34
HAL-2019-Q2-2019-07-22,12,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer",Our Completion and Production division grew revenue 4% and operating income 28% sequentially. Improved completion activity in North America land and our solid execution globally resulted in delivering better-than-expected margins.,1.9473294,0.572
HAL-2019-Q2-2019-07-22,13,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","Our Drilling and Evaluation division grew operating income 18% quarter-over-quarter with strong improvements coming from our Sperry Drilling and Wireline and Perforating product service lines. Overall, D&E division incremental margin was 44%.",1.6932493,0.681
HAL-2019-Q2-2019-07-22,14,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","North America demonstrated solid performance this quarter, delivering 2% revenue growth despite the dropping rig count. International revenue grew 6% sequentially, led by activity increases in the Eastern Hemisphere. And finally, we generated approximately $450 million in operating cash flow as well as positive free cash flow in the second quarter.",1.9669881,0.911
HAL-2019-Q2-2019-07-22,15,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","Now, I'd like to provide some regional commentary beginning with the international markets. I'm excited by what I see internationally, a continued broad-based recovery across multiple geographies, primarily driven by land and shallow water operations.",1.8323442,0.599
HAL-2019-Q2-2019-07-22,16,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","Our business in the North Sea is extremely busy both in the Norwegian and U.K. sectors. We have significantly increased our market share there by winning large tenders. Currently, we're sold out of drilling and wireline tools in the North Sea.",2.3590504,0.807
HAL-2019-Q2-2019-07-22,17,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","As activity keeps ramping up, especially with independent operators taking over IOC assets in the U.K., supply and demand balances significantly tightened for tools and I expect that incremental work will come with better pricing.",2.0152077,0.477
HAL-2019-Q2-2019-07-22,18,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","We see similar dynamics in the Asia-Pacific markets. Malaysia, Australia, and India are all showing strong activity growth. Increased activity leads to better pricing dynamics and we're already seeing the leading edge of pricing improvement in those markets.",1.5849407,0.944
HAL-2019-Q2-2019-07-22,19,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","For instance, tightness in the supply of open hole wireline tools has allowed us to raise prices in certain markets. As to the broader offshore market, we've seen enough science to anticipate future growth. In June, the year-over-year change in offshore rig count was up for the 12th consecutive month and appears to be gaining momentum. However, the majority of large offshore projects being sanctioned or awarded today have a 2020 or 2021 start date.",0.9992582,0.827
HAL-2019-Q2-2019-07-22,20,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer",For example this month we announced an integrated offshore drilling services contract win with Kuwait Oil Company. This is the first offshore project in Kuwait since the 1980s and it includes six high-pressure high-temperature exploration wells on two jack-up rigs in the Arabian Gulf.,1.4061573,0.772
HAL-2019-Q2-2019-07-22,21,Remarks,2019-07-22,2,2019,Jeffrey Allen Miller,"Chairman, President & Chief Executive Officer","Starting next summer, Halliburton will provide well construction services well testing, coring, coil tubing, and the majority of offshore logistical services under this three-year contract.",1.6097923,0.494
