id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
KO-2017-Q2-2017-07-26,1,Operator,2017-07-26,2,2017,Operator,,"At this time, I would like to welcome everyone to The Coca-Cola Company Second Quarter 2017 Earnings Results Conference Call. Today's call is being recorded. If you have any objections, please disconnect at this time. All participants will be in a listen-only mode until the formal question-and-answer portion of the call.",,0.778
KO-2017-Q2-2017-07-26,2,Operator,2017-07-26,2,2017,Operator,,"I would like to remind everyone that the purpose of this conference is to talk with investors, and therefore, questions from the media will not be addressed. Media participants should contact Coca-Cola's Media Relations department if they have questions.",,0.361
KO-2017-Q2-2017-07-26,3,Operator,2017-07-26,2,2017,Operator,,"And now I would like to introduce Tim Leveridge, Vice President and Investor Relations Officer. Mr. Leveridge, you may begin.",,0.361
KO-2017-Q2-2017-07-26,4,Remarks,2017-07-26,2,2017,Timothy K. Leveridge - The Coca-Cola Co.,,"Good morning, and thank you for being with us today. I'm joined by James Quincey, our Chief Executive Officer; and Kathy Waller, our Chief Financial Officer.",,0.66
KO-2017-Q2-2017-07-26,5,Remarks,2017-07-26,2,2017,Timothy K. Leveridge - The Coca-Cola Co.,,"Before we begin, I would like to remind you that this conference call may contain forward-looking statements, including statements concerning long-term earnings objectives and should be considered in conjunction with cautionary statements contained in our earnings release and in the company's most recent periodic SEC report. Following prepared remarks this morning, we will turn the call over for your questions. And we have kept our prepared remarks brief this morning and intend to end the call at approximately 9:45 AM. In order to allow as many people to ask questions as possible, we ask that you limit yourself to one question. If you have multiple questions, please ask your most pressing one first and then re-enter to the queue in order to ask any follow-ups.",,0.818
KO-2017-Q2-2017-07-26,6,Remarks,2017-07-26,2,2017,Timothy K. Leveridge - The Coca-Cola Co.,,Now let me turn the call over to James.,,0.0
KO-2017-Q2-2017-07-26,7,Remarks,2017-07-26,2,2017,James Quincey - The Coca-Cola Co.,,"Thanks, Tim, and good morning, everyone. As we pass the midpoint of the year, I'm pleased to say that we are where we expected to be and remain on track to deliver our full year guidance. Importantly, we continue to accelerate the transformation of our business into a total beverage company by driving against the strategic priorities we laid out at CAGNY: mainly, expanding our portfolio with new products, marketing platforms and a consistent strategy to offer our customers the best consumer-centric beverage portfolio; second, driving revenue growth through enhanced revenue growth management strategies and a strengthened system; third, digitizing our enterprise; and fourth and very importantly, unlocking the power of our people as we instill a growth culture and establish a new, leaner operating model.",,0.979
KO-2017-Q2-2017-07-26,8,Remarks,2017-07-26,2,2017,James Quincey - The Coca-Cola Co.,,"With this as the backdrop, I'd like to talk about our performance in the quarter and then drill down into actions that we are taking to drive top line growth and finally update you on refranchising and our new operating model. So firstly, starting with the quarter, ultimately amidst a weak consumer retail environment in emerging markets, particularly Latin America, and some softness in North America, our actions are enabling us to win in the market. Globally, we gained value share in total non-alcoholic beverages and in most of our category clusters.",,0.919
KO-2017-Q2-2017-07-26,9,Remarks,2017-07-26,2,2017,James Quincey - The Coca-Cola Co.,,"As expected, organic revenue grew 3% in the quarter. Not only did we see a strong performance in rapidly expanding areas of our business, such as Innocent in Europe, but our revenue growth was also largely driven by innovation in sparkling soft drinks where we have continued to roll out Coca-Cola Zero Sugar around the world. Price mix continues to benefit from a focus on smaller pack sizes. Globally, our immediate consumption packs which are typically sold at a higher retail price per ounce grew unit case volume 3% in the quarter. Taken together with the effective management of our portfolio and cost structure, solid pricing enabled us to deliver another quarter of strong underlying operating margin expansion.",,0.98
KO-2017-Q2-2017-07-26,10,Remarks,2017-07-26,2,2017,James Quincey - The Coca-Cola Co.,,"Now turning to look around the world, many of our developed markets, particularly North America and Europe, continued to perform well. In North America, improving performance in our refranchised territories with a disciplined approach to volume, price and mix management and some favorable timing of shipments in our foodservice business led to an organic revenue growth of 5%. In our Europe, Middle East and Africa group, solid marketing and innovation along with improved alignment with our bottling partners resulted in strong 6% organic revenue growth.",,0.967
