id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
MKTX-2018-Q3-2018-10-24,1,Operator,2018-10-24,3,2018,Operator,,"Ladies and gentlemen, thank you for standing by. At this time, all participants are in a listen-only mode. Later we will conduct a question-and-answer session. [Call instructions delivered by operator] As a reminder, this conference call is being recorded today, October 24, 2018.",,0.361
MKTX-2018-Q3-2018-10-24,2,Operator,2018-10-24,3,2018,Operator,,"I would now like to turn the call over to Dave Cresci, Investor Relations Manager at MarketAxess. Please go ahead, sir.",,0.586
MKTX-2018-Q3-2018-10-24,3,Remarks,2018-10-24,3,2018,Dave Cresci,,"Good morning, and welcome to the MarketAxess Third Quarter 2018 Conference Call. For the call, Rick McVey, Chairman and Chief Executive Officer, will review the highlights for the quarter and will provide an update on trends in our businesses, and then Tony DeLise, Chief Financial Officer, will review the financial results.",,0.71
MKTX-2018-Q3-2018-10-24,4,Remarks,2018-10-24,3,2018,Dave Cresci,,"Before I turn the call over to Rick, let me remind you that today's call may include forward-looking statements. These statements represent the company's beliefs regarding future events that, by their nature, are uncertain. The company's actual results and financial condition may differ materially from what is indicated in those forward-looking statements.",,-0.296
MKTX-2018-Q3-2018-10-24,5,Remarks,2018-10-24,3,2018,Dave Cresci,,"For a discussion of some of the risks and factors that could affect the company's future results, please see the description of risk factors in our Annual Report on Form 10-K for the year ended December 31, 2017. I would also direct you to read the forward-looking statements disclaimer in our quarterly earnings release, which was issued earlier this morning and is now available on our Web site.",,-0.226
MKTX-2018-Q3-2018-10-24,6,Remarks,2018-10-24,3,2018,Dave Cresci,,"Now, let me turn the call over to Rick.",,0.0
MKTX-2018-Q3-2018-10-24,7,Remarks,2018-10-24,3,2018,Richard Mitchell McVey,Chairman & Chief Executive Officer,"Good morning and thank you for joining us to discuss our third quarter 2018 results. This morning, we reported strong third quarter results driven by increased market share across all of our core products, and continued robust Open Trading activity. Overall, trading volume of $386 billion was up 11% compared to Q3 2017. Our estimated U.S. high-grade market share of 17.5% was up from 17.2% last year. Estimated high-yield market share shows strong growth, and reached a record 9.2%, up from 6.9% in the same period last year. Third quarter revenue of $101 million, was up 6% compared to Q3 2017. Operating income for the quarter was $46 million, and diluted EPS was up 13% to $1.02.",0.4194139,0.972
MKTX-2018-Q3-2018-10-24,8,Remarks,2018-10-24,3,2018,Richard Mitchell McVey,Chairman & Chief Executive Officer,"Expenses of $55 million were up 12%, including $1.9 million in duplicate rent expense for our new offices in Hudson yards. We expect to move in to our new headquarters by the end of the year. Open Trading adoption continues to accelerate. Additionally, emerging market and Eurobond volumes both saw rapid growth during the quarter.",0.1968864,0.382
MKTX-2018-Q3-2018-10-24,9,Remarks,2018-10-24,3,2018,Richard Mitchell McVey,Chairman & Chief Executive Officer,"Slide four provides an update on market conditions. Market conditions for credit trading were soft in the third quarter. Credit spreads were tighter, volatilities fell, and core product market volumes declined on average 14% from the second quarter. Overall trading conditions improved in September and into October. The combination of higher treasury yields, widening credit spreads, and elevated new issue activity has led to a much better trading environment for our business. While market trading conditions has been mixed over recent months, share gains across products have been strong, and position the company well for future growth.",2.1423993,0.976
MKTX-2018-Q3-2018-10-24,10,Remarks,2018-10-24,3,2018,Richard Mitchell McVey,Chairman & Chief Executive Officer,"Slide five provides an update on Open Trading. Open Trading volume growth accelerated during the quarter, and was up 58% to a year record level of $88 billion. Average daily volume was $1.4 billion, also up 58%. Open Trading represented 23% of our volume in Q3, up from 16% last year. Over 282,000 Open Trading transactions were completed in the third quarter, up from 155,000 in Q3, 2017. Open Trading liquidity providers or price-makers on the platform drove approximately 1.5 million price responses, representing a 107% increase in activity in the third quarter. During the quarter, over 750 firms provided prices through Open Trading, and over 1,000 firms completed at least one open trade.",0.4656593,0.599
