id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
NVDA-2017-Q2-2016-08-12,1,Operator,2016-08-11,2,2017,Operator,,"Good afternoon. My name is Desiree, and I'll be your conference operator today. I would like to welcome you to the NVIDIA Financial Results Conference Call. All lines have been placed on mute. After the speakers' remarks there will be a question-and-answer period.",,0.813
NVDA-2017-Q2-2016-08-12,2,Operator,2016-08-11,2,2017,Operator,,"I would now turn the call over to Arnab Chanda, Vice President of Investor Relations at NVIDIA. You may begin your conference.",,0.0
NVDA-2017-Q2-2016-08-12,3,Remarks,2016-08-11,2,2017,Arnab K. Chanda,Investor Relations & Media Contact,"Thank you. Good afternoon, everyone, and welcome to NVIDIA's conference call for the second quarter of fiscal 2017. With me on the call today from NVIDIA are Jen-Hsun Huang, President and Chief Executive Officer; and Colette Kress, Executive Vice President and Chief Financial Officer. I'd like to remind you that today's call is being webcast live on NVIDIA's Investor Relations website. It is also being recorded. You can hear a replay by telephone until the 18th of August 2016. The webcast will be available for replay up until next quarter's conference call to discuss Q3 financial results. The content of today's call is NVIDIA's property. It cannot be reproduced or transcribed without our prior written consent.",1.4407666,0.896
NVDA-2017-Q2-2016-08-12,4,Remarks,2016-08-11,2,2017,Arnab K. Chanda,Investor Relations & Media Contact,"During the course of this call, we may make forward-looking statements based on current expectations. These forward-looking statements are subject to a number of significant risks and uncertainties and our actual results may differ materially. For a discussion of factors that could affect our future financial results and business, please refer to the disclosure in today's earnings release, our most recent Forms 10-K and 10-Q, and the reports that we may file on Form 8-K with the Securities and Exchange Commission. All of our statements are made as of today, the 11th of August 2016 based on information currently available to us. Except as required by law, we assume no obligation to update any such statements. During this call we will discuss non-GAAP financial measures. You can find a reconciliation of these non-GAAP financial measures to GAAP financial measures in our CFO commentary which is posted on our website.",0.4773519,-0.026
NVDA-2017-Q2-2016-08-12,5,Remarks,2016-08-11,2,2017,Arnab K. Chanda,Investor Relations & Media Contact,"With that, let me turn the call over to Colette.",,0.0
NVDA-2017-Q2-2016-08-12,6,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Thanks, Arnab. This quarter we introduced our new family of Pascal-based GPUs, one of our most successful launches ever. We also benefited from both the winding adoption of deep learning and our expanding engagement with hyperscale datacenters around the world as they apply deep learning to all the services they provide. Revenue continued to accelerate, rising 24% to a record $1.43 billion. We saw strong sequential and year-on-year growth across our four platforms, Gaming, Professional Visualization, Datacenter and Automotive.",0.7734448,0.942
NVDA-2017-Q2-2016-08-12,7,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Our business model based on driving GPU compute platforms into highly targeted markets is clearly succeeding. The GPU business was up 25% to $1.2 billion from a year ago. The Tegra Processor Business increased 30% to $166 million. In Q2 our four platforms contributed nearly 89% of revenue, up from 85% a year earlier, and 87% in the preceding quarter. They collectively increased 29% year-over-year. Let's begin with our Gaming platform. Gaming revenue increased 18% year-on-year to $781 million, reflecting the success of our latest integration of Pascal-based GPUs. Demand was strong in every geographic region. The Pascal architecture offers a number of amazing technological advances, and enables unprecedented performance and efficiencies for playing sophisticated AAA gaming titles and driving rich immersive VR experiences.",0.5222841,0.985
NVDA-2017-Q2-2016-08-12,8,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"In our most successful launch ever we introduced four major products. They are GeForce GTX 1080, 1070 and 1060 for the enthusiast market, and the TITAN X, the world's fastest consumer GPU for deep learning development, digital content creation and extreme gaming. WIRED magazine called the GTX 1080 an unprecedented piece of electronic precision, one that performs Herculean feats of computational strength. Forbes called GTX 1060, which brings a premium VR experience within reach of many, a fantastic product.",0.4275766,0.939
NVDA-2017-Q2-2016-08-12,9,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"And Hardware Canucks described TITAN X as a technological tour de force with frame rates that are simply mind-boggling. The GTX 1080, 1070, 1060 and TITAN X are now in full production and available to consumers worldwide. VR's potential is on vivid display in a new open source game that we released during the quarter. Available on Steam, NVIDIA VR Funhouse is an open source title created with our GamesWorks SDK. It integrates physical simulation into VR along with amazing graphics and precise haptics that you feel like you're actually out at carnival.",0.3727948,0.807
NVDA-2017-Q2-2016-08-12,10,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Moving to Professional Visualization, Quadro revenue grew to a record $214 million, up 22% year-on-year and up 13% sequentially. Growth came from the high-end of the market for real-time rendering tools and mobile workstations. The M6000 GPU 24 gig, launched earlier this year, is drawing strong interest from a broad range of customers. Digital Domain, a leading special-effects studio, is using Quadro to accelerate productivity for its work on films and commercials, which requires especially tight turnaround times. Engineering giant AECOM and the Yale School of Architecture are using Quadro to accelerate their design and engineering workflows.",0.1443825,0.856
NVDA-2017-Q2-2016-08-12,11,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Last month at SIGGRAPH conference, we introduced a series of new products that embed photorealistic and immersive experience into workflows, incorporating Iray and VR. We launched the Pascal-based Quadro P6000, the most advanced workstation GPU, enabling designers to manipulate complex designs up to twice as fast as before. We demonstrated how deep learning is being brought to the realm of the industrial design to create better products faster. And we launched eight new and updated software libraries such as VRWorks 360 video SDK which brings panoramic video to VR.",0.3110492,0.807
NVDA-2017-Q2-2016-08-12,12,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Moving to datacenter; revenue reached a record $151 million, more than doubling year-on-year and up 6% sequentially. This impressive performance reflects strong growth in supercomputing, hyperscale datacenters and grid virtualization. Interest in deep learning is surging as industries increasingly seek to harness this revolutionary technology. Hyperscale companies remain fast adopters of deep learning, both for training and real-time inference, particularly for natural lingual processing, video and image analysis. Among them are Facebook, Microsoft, Amazon, Alibaba and Baidu. Major cloud providers are also offering GPU computing for their customers. Microsoft Azure is now using NVIDIA's GPUs to provide computing and graphics virtualization.",1.6490251,0.944
NVDA-2017-Q2-2016-08-12,13,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"During the quarter we began shipping Tesla P100, the world's most advanced GPU accelerator, based on the Pascal architecture. Designed to accelerate deep learning training, it allows application performance to scale up to eight GPUs using our NVLink interconnect. We also announced a variant of P100 based on PCI Express that makes it suitable for a wide range of accelerated servers. At our GPU Technology Conference in April, we introduced DGX-1, the world's first deep learning supercomputer. Equipped with eight P100s in a single box, it provides deep learning performance that is equivalent to 250 traditional servers. It comes loaded with NVIDIA software and AI application developers.",0.1922006,0.317
NVDA-2017-Q2-2016-08-12,14,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"We are seeing strong interest in DGX-1 from AR researchers and developers across academia, government labs and large enterprises. Two days ago, Jen-Hsun hand-delivered the very first DGX-1 production model to the Open AI Institute. They plan to use this system in part to build autonomous agents like chatbots, cars and robots. Broader deliveries will commence later this quarter. We will be talking more about deep learning later this year at regional versions of our GPU Technology Conference set for eight cities around the world, among them, Beijing, Amsterdam, Tokyo and Seoul, as well as Washington D.C.",0.0125348,0.872
NVDA-2017-Q2-2016-08-12,15,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Our GRID graphics virtualization business more than doubled in the quarter. Adoption is accelerating across a variety of industries, particularly automotive and AEC, among customers out of this quarter was Statoil, a Norwegian oil and gas company.",0.1555246,0.0
NVDA-2017-Q2-2016-08-12,16,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Finally in automotive, revenue increased to a record $119 million, up 68% year-over-year and up 5% sequentially, driven by premium infotainment and digital cockpit features in mainstream cars. Our effort to help partners develop self-driving cars continues to accelerate. We have started to ship our DRIVE PX 2 automotive supercomputer to the 80-plus companies using both our hardware and DriveWorks software to develop autonomous driving technologies. We remain on track to ship our autopilot solution based on the DRIVE platform. Beyond our four platforms, our OEM and IP business was $163 million, down 6% year-on-year in line with mainstream PC demand.",0.5728877,0.681
NVDA-2017-Q2-2016-08-12,17,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Now, turning to the rest of the income statement. We had record GAAP gross margin of 57.9%, while non-GAAP gross margin was 58.1%. These reflect the strength of our GeForce gaming GPUs, the success of our platform approach, and strong demand for deep learning. GAAP operating expenses were $509 million, down 9% from a year earlier. Non-GAAP operating expenses were $448 million, up 6% from a year earlier. This reflects increased hiring in R&D and marketing expenses, partially offset by lower legal fees. GAAP operating income for the second quarter was $317 million, compared to $76 million a year earlier. Non-GAAP operating income was $382 million, up 65%. Non-GAAP operating margins improved 680 basis points from a year ago to 26.8%.",0.3008357,0.791
NVDA-2017-Q2-2016-08-12,18,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"Now, turning to the outlook for the third quarter of fiscal 2017. We expect revenue to be $1.68 billion plus or minus 2%. Our GAAP and non-GAAP gross margins are expected to be 57.8% and 58% respectively, plus or minus 50 basis points. GAAP operating expenses are expected to be approximately $530 million. Non-GAAP operating expenses are expected to be approximately $465 million. And GAAP and non-GAAP tax rates for the third quarter of fiscal 2017 are both expected to be 21% plus or minus 1%. Further financial details are included in the CFO commentary and other information available on our IR website.",0.3226555,-0.178
NVDA-2017-Q2-2016-08-12,19,Remarks,2016-08-11,2,2017,Colette M. Kress,Chief Financial Officer & Executive Vice President,"We will now open the call for questions. Operator, could you please poll for questions? Thank you. Operator?",2.0914578,0.632
NVDA-2017-Q2-2016-08-12,20,Operator,2016-08-11,2,2017,Operator,,And your first question comes from the line of Mark Lipacis.,,0.0
