id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
RL-2017-Q1-2016-08-10,1,Operator,2016-08-10,1,2017,Operator,,"Ladies and gentlemen, thank you for standing by. Welcome to the Ralph Lauren First Quarter Fiscal Year 2017 Earnings Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session. Instructions on how to ask a question will be given at that time. As a reminder, this conference is being recorded.",,0.671
RL-2017-Q1-2016-08-10,2,Operator,2016-08-10,1,2017,Operator,,"I would now like to turn the conference over to our host, Mrs. Evren Kopelman. Please go ahead.",,0.586
RL-2017-Q1-2016-08-10,3,Remarks,2016-08-10,1,2017,Evren Kopelman,Investor Relations Contact,"Good morning, and thank you for joining Ralph Lauren's First Quarter Fiscal 2017 Conference Call. With me today are Stefan Larsson, the company's President and Chief Executive Officer; and Bob Madore, Senior Vice President and Chief Financial Officer. After prepared remarks, we will open up the call for your questions, which we ask that you limit to one per caller.",0.0549166,0.743
RL-2017-Q1-2016-08-10,4,Remarks,2016-08-10,1,2017,Evren Kopelman,Investor Relations Contact,"During today's call, we will be making some forward-looking statements within the meaning of the federal securities laws, including our financial outlook. Forward-looking statements are not guarantees and our actual results may differ materially from those expressed or implied in the forward-looking statements. Our expectations contain many risks and uncertainties. Principal risks and uncertainties that could cause our results to differ materially from our current expectations are detailed in our SEC filing.",0.0633251,-0.7
RL-2017-Q1-2016-08-10,5,Remarks,2016-08-10,1,2017,Evren Kopelman,Investor Relations Contact,"To find disclosures and reconciliations of non-GAAP measures that we use when discussing our financial results, you should refer to this morning's earnings release and to our SEC filing that could be found in our Investor Relations website.",0.0592703,0.0
RL-2017-Q1-2016-08-10,6,Remarks,2016-08-10,1,2017,Evren Kopelman,Investor Relations Contact,And now I will turn the call over to Stefan.,,0.0
RL-2017-Q1-2016-08-10,7,Remarks,2016-08-10,1,2017,Stefan Larsson,,"Thank you, Evren, and good morning, everyone. We last spoke at our Investor Day in early June where we shared with you the details of our Way Forward Plan. The Way Forward Plan is our multi-year plan to build on the unique brand strength we have, go back to the core of what made us iconic, evolve from that core and build the business back to sustainable profitable growth.",,0.938
RL-2017-Q1-2016-08-10,8,Remarks,2016-08-10,1,2017,Stefan Larsson,,"Today, I will share my key takeaways from the first quarter and then provide a brief update on what we have achieved and learned so far in starting to drive the execution of our Way Forward Plan. Then I will turn it over to Bob to review the company's quarterly financial performance in more detail.",,0.296
RL-2017-Q1-2016-08-10,9,Remarks,2016-08-10,1,2017,Stefan Larsson,,"Beginning with the quarter, performance was mostly in line with our expectations with some minor puts and takes, as we would expect at this early stage of the execution of our Way Forward Plan. On the revenue side, the domestic business, as expected, continued to be challenged while the international business delivered a strong quarter, posting 10% revenue growth year-over-year.",,0.671
RL-2017-Q1-2016-08-10,10,Remarks,2016-08-10,1,2017,Stefan Larsson,,"The main drivers to the decline in North America are what we shared in detail during the Investor Day. A combination of not having evolved our consumer offering enough in product, marketing, shopping experience, and having had an operating model that has generated too much excess inventory. Having these self-induced challenges are hurting us when we, like everyone else, are facing difficult retail traffic trends in a highly promotional environment.",,0.0
RL-2017-Q1-2016-08-10,11,Remarks,2016-08-10,1,2017,Stefan Larsson,,"In our international markets, even though we have a much smaller presence there than in North America and we globally have much improvement work to do ahead of us, there were valuable learnings in the quarter that we will use in building back strength in our domestic business. Let me give you a few examples.",,0.852
RL-2017-Q1-2016-08-10,12,Remarks,2016-08-10,1,2017,Stefan Larsson,,"In Asia, over the last six months, we have acted aggressively to drive quality of sales up. Our team there proactively closed 43 brand weakening locations, reduced the length of the sale period by an average of 30% and significantly decreased the depth of markdown rates. We have seen some very encouraging results.",,0.024
RL-2017-Q1-2016-08-10,13,Remarks,2016-08-10,1,2017,Stefan Larsson,,"Our average unit retail prices and our gross profit dollars were both up significantly. Simultaneously, the team has continued to drive high quality expansion. In Europe, as expected, this quarter benefited from a shift in timing of wholesale shipments. However, the underlying business was also solid and our team has driven several successful quality of sale initiatives. They have been able to reduce buys for this year in a way that has protected full price selling, increased the stock turnover and if the current trend continues, will significantly reduce excess inventory at the end of the season.",,0.848
RL-2017-Q1-2016-08-10,14,Remarks,2016-08-10,1,2017,Stefan Larsson,,"As a part of executing the Way Forward Plan, you will see us increasingly focus on proactively driving quality of sales up. These initiatives will include pulling back on inventory receipts, cutting lead times, strengthening our assortment and store closures. These will be some of the most important drivers in getting us back to sustainable profitable growth.",,0.852
RL-2017-Q1-2016-08-10,15,Remarks,2016-08-10,1,2017,Stefan Larsson,,"Speaking of profitability, in the first quarter, operating margin was better than our guidance, however, this was driven by one time benefits that Bob will take you through in detail. Excluding this impact, the quarter was in line with our expectations.",,0.765
