id,sequence,label,date,quarter,year,speaker,title,text,mystery indicator,VADER sentiment
TGT-2017-Q2-2017-08-16,1,Operator,2017-08-16,2,2017,Operator,,"Ladies and gentlemen, thank you for standing by. Welcome to the Target Corporation's Second Quarter Earnings Release Conference Call. During the presentation, all participants will be in a listen-only mode. [Call instructions delivered by operator] As a reminder, this conference is being recorded, Wednesday, August 16, 2017. I would like to now turn the conference over to Mr. John Hulbert, Vice President, Investor Relations. Please go ahead, sir.",,0.852
TGT-2017-Q2-2017-08-16,2,Remarks,2017-08-16,2,2017,John R. Hulbert,Vice President-Investor Relations,"Good morning, everyone and thank you for joining us on our second quarter 2017 earnings conference call. On the line with me today are Brian Cornell, Chairman and Chief Executive Officer; John Mulligan, Chief Operating Officer; Mark Tritton, Chief Merchandising Officer; and Cathy Smith, Chief Financial Officer.",2.3688969,0.66
TGT-2017-Q2-2017-08-16,3,Remarks,2017-08-16,2,2017,John R. Hulbert,Vice President-Investor Relations,"In a few moments, Brian, John, Mark and Cathy will provide their perspective on Target's second quarter performance and our plans and priorities going forward. Following their remarks, we will open the phone lines for a question-and-answer session.",0.0470163,0.0
TGT-2017-Q2-2017-08-16,4,Remarks,2017-08-16,2,2017,John R. Hulbert,Vice President-Investor Relations,"As a reminder, any forward-looking statements that we make this morning are subject to risks and uncertainties, the most important of which are described in our SEC filings. Also in these remarks, we refer to adjusted earnings per share, which is a non-GAAP financial measure and return on invested capital, which is a ratio based on GAAP information with the exception of adjustments made to capitalized operating leases. Reconciliations to our GAAP EPS from continuing operations and to our GAAP total rent expense are included in this morning's press release, which is posted on our Investor Relations website.",1.0027125,-0.053
TGT-2017-Q2-2017-08-16,5,Remarks,2017-08-16,2,2017,John R. Hulbert,Vice President-Investor Relations,"With that, I will turn it over to Brian for his thoughts on our second quarter performance and our priorities going forward. Brian?",0.3286618,0.0
TGT-2017-Q2-2017-08-16,6,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"Thanks, John. Good morning, everyone. We are very pleased with our second quarter performance, which gives us increased confidence that we are focused on the right long-term strategy. Our team is energized and remains on track to deliver the ambitious agenda we laid out for the year, including the physical transformation more than 100 stores in 2017. On the way to transforming, more than 600 stores over a 3-year period, nearly doubling the number of small format stores are shared in support of our goal to open more than 100 new stores in dense urban, suburban and college campus neighborhoods over a 3-year period.",2.4203848,0.979
TGT-2017-Q2-2017-08-16,7,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"Development and rollout of digital capabilities that will continue to drive Target's digial sales growth in excess of the industry, completely transforming our supply chain from end-to-end creating a smart network of stores and distribution facilities that will allow fast reliable fulfillment regardless of how our guests use the shop, rejuvenating our own brand portfolio by launching 12 brands over a 2-year period, replacing brands that represent more than $10 billion of our current sales volume, investing in systems, training and additional labor hours in our source enabling our team to provide an even better experience for our guests and enhancing our value perception among consumers by reducing promotions and highlighting the right everyday pricing in key categories. Later in the call, John, Mark and Cathy will provide more details on our efforts to advance each of these priorities.",0.2914449,0.914
TGT-2017-Q2-2017-08-16,8,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"On our last conference call, I mentioned that beyond our focus on advancing our long-term priorities, we need to have equal focus on strong execution in every channel, everyday. That's why we are really proud of the execution by our team in the second quarter as they delivered better-than-expected performance in a continuing challenging environment. In particular, second quarter traffic, which was up more than 2% was much stronger than our expectations and better than recent trends and the strength was broad-based across the country, across categories and across channels. And while the consumer and competitive environment remains choppy better-than-expected performance occurred throughout the quarter and wasn't limited to a short period within the quarter, with better second quarter traffic, we saw improved performance across each of our 5 broad merchandising categories: apparel, home, food and beverage, essentials and hardlines. 4 of those 5 saw comp increases in the second quarter, while comp sales in food and beverage were flat. However, given continued competitive and deflationary pressure in food, we are pleased that we are seeing early signs of progress. Specifically, we saw really strong positive comps in adult beverages and produce in the second quarter, both categories in which we have identified opportunities and focused on improvement. The positive response from our guests demonstrates that we are making progress and we are taking additional steps to build on that momentum over time.",0.8473189,0.993
TGT-2017-Q2-2017-08-16,9,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"I also want to call out our progress on pricing and promotions. As we mentioned in the last call, we undertook this effort with a long-term view knowing that we might create some headwinds in the near term. Specifically, as we move towards a stronger everyday price proposition in our business and pullback on excess promotions, we can expect an adjustment period before value perception proves and consumers respond. While we continue to face the risk in future quarters as we expand the scope of this work, it's notable that in the second quarter we saw a meaningful increase in the percent of our business done at regular price and a meaningful decline in the percent on promotion. This demonstrates the progress we have already made and gives us confidence we are on the right track.",0.4064675,0.966
TGT-2017-Q2-2017-08-16,10,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"I also want to call out the team's progress on Target's digital capabilities which continue to show up in our results. Target's digital sales grew much faster than industry in the second quarter, up 32% on top of 16% growth last year. If you do the compounding of these two growth rates, you will see that this represents more than a 50% growth rate compared with 2 years ago. And importantly as a result of our comprehensive effort by our team to reduce friction and increase the reliability of our digital operations, we have seen meaningful declines in guest contact center activity related to digital. This is a tangible reflection of our work to create a stable digital platform and successful collaboration between our digital operations and merchandising teams to create a more cohesive experience for our guests.",0.6299632,0.979
TGT-2017-Q2-2017-08-16,11,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"To build on this success the team is rapidly testing and rolling out additional fulfillment options for our guests. This includes Target Restock, our next day delivery option for everyday essentials that we recently rolled out the Twin City Red Card holders. It includes same day delivery which we began testing in our Tribeca store in the second quarter. It includes an early test of curbside fulfillment which we recently began testing with Twin City team members and which will expand to again facing tests in the third quarter. And of course our efforts include the expansion of ship and store locations, in-store pickup capabilities and our work with third-party providers to speed up ship times from our stores and distribution facilities. In each of these efforts the team is moving quickly, more quickly than ever before to rollout, test and iterate and expand where we see positive results. We are really excited to see the engagement of our team and the collaboration occurring across our operations which allows these tests to move quickly and we intend to continue moving quickly in the months ahead.",0.734343,0.954
TGT-2017-Q2-2017-08-16,12,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"Another area where we have increased our speed is the development and rollout of new exclusive brands with last year's rollout of Pillowfort and Cat & Jack in kids we demonstrated the power of reinvention in categories that were already performing well. Specifically both of these new brands grow double digit comps following their launch last year. Regarding the Cat & Jack brand, we have long said that it was on pace to exceed $1 billion in sales in its first year. The performance has actually exceeded those expectations. Cat & Jack just crossed the $2 billion mark only slightly more than a year after its launch. Based on the success of those brands, our team took on the ambitious goal of launching 12 additional new brands before the end of next year and those plans are coming to life.",0.8354482,0.889
TGT-2017-Q2-2017-08-16,13,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"At the end of May we launched Cloud Island, an infant brand which we developed in partnership with our guests. And like last year's new brands Cloud Island has generated double digit comp increases in the period since the launch. In July we launched a new maternity brand Isabel Maternity and announced plans to launch four more brands in the third quarter crossing women's apparel, men's apparel and home. I also want to comment on our recently announced decision to partner with Casper in advance of the back to college season. I spent some time with the leadership team at Casper and I have been really impressed with how they think long-term and focus on outstanding execution on behalf of their customers. Their brand and products are a great fit with the Target brands and we are proud to be featuring their products online and in our stores, including a couple of exclusive items they have developed only for Target. This relationship is the most recent example of our ability to differentiate our assortment while helping outstanding brands to extend their reach.",0.5566926,0.984
TGT-2017-Q2-2017-08-16,14,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"During this period of rapid transformation in retail in which many others are shrinking, we will continue to look for ways to partner and deliver incremental growth for high quality brands while delivering differentiation and value for our guests. As we look ahead, we are committed to continued progress against our long-term goals. And we expect the environment will continue to be challenging. The pace of change in the consumer and competitive environment doesn't show any signs of slowing down. And we are well positioned to emerge as one of the winners in retail. It starts with the underlying health of our business, a business that generated profits of nearly $700 million in the second quarter. Our business is backed by amazing assets including our team, our network of stores and distribution centers, our unique merchandise assortment and a deeper relationship with our guest. Beyond those assets we have a very strong balance sheet and operations that generate a lot of cash providing us the flexibly to undertake the ambitious 3-year transformation we first laid out at our analyst meeting in February. And we continue to look for ways to move faster.",0.7126484,0.986
TGT-2017-Q2-2017-08-16,15,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"In February, we announced our plans to complete 250 store transformations in 2018 on top of the 100 plus we are on track to complete this year. However, based on our success so far and the hard work of our real estate and construction teams to grow our capabilities quickly, we now believe we can accomplish more than 300 store remodels next year. While the scope of our transformation is large we remain focused on what has made Target an outstanding retailer over the long-term, all the way back to our first store in 1962. The key for us is embracing the power of ant which makes us unique among our competitive set. When we are at our best our model delivers the best of both mass and specialty retail. We deliver inspiration and convenience and we invite our guest to expect more and pay less. Because we delivered on all of those dimensions over time, we have developed a unique emotional relationship with our guests and we believe that relationship is positioned to thrive in the new era of retail.",2.9304134,0.981
TGT-2017-Q2-2017-08-16,16,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"If we continue to offer our guests inspiration and aspiration, differentiate merchandise and experiences and deliver convenience, reliability and great everyday prices we will continue to stand out and succeed in a crowded retail environment. One way to see how the best the Target comes together is a visit one of our exciting new small format stores we have been opening across the country. I visited our new store that recently opened on the USC campus and despite my loyalty as a proud UCLA graduate I couldn't help being excited by what I saw. The store is already quite busy even though most of the students have yet to return from summer break duty, baby, food and beverage are all selling well. And the store team is quickly evolving their assortment based on feedback from a diverse set of guests, it's truly inspiring to see the team interact with our new guests and an exciting new shopping environment and I am proud of what they do every day.",1.499386,0.989
TGT-2017-Q2-2017-08-16,17,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"So now I would like to turn the call over to the team who will provide additional detail on our strategic plans and recent performance. First John will provide detail on our work and supply chain and our stores to enhance our fulfillment capabilities and provide a more reliable and inspirational experience for our guests. Then Mark will cover category performance and provide more detail on our recent and upcoming brand launches. Finally, Cathy will provide more detail on our second quarter financial results and expectations for the rest of the year.",0.7617683,0.745
TGT-2017-Q2-2017-08-16,18,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,So with that I will turn the call over to John for his comments. John?,5.3667622,0.0
TGT-2017-Q2-2017-08-16,19,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"Thanks Brian. Across all the operations team, we are focused on modernizing Target's network to create a complete seamless efficient and reliable menu of fulfillment options for our guests. And while we are still in the early stages of a multi-year journey, the team continues to move with unprecedented speed developing skills and processes that allow us to develop, test and iterate much more quickly than we have in the past. Some of our fulfillment capabilities are already well developed and in those cases the team is focused on finding ways to increase our speed, reliability and reach. At the other end of the spectrum, we are in the early stages of testing completely new fulfillment options for our guests. In those situations the work is fully focused on learning from our guests and vendor partners, understanding what is most important to our guests and beginning to evaluate reliable, repeatable processes that will allow Target to fulfill guests rapidly evolving needs and expectations.",0.5607859,0.975
TGT-2017-Q2-2017-08-16,20,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"Among our more developed fulfillment capabilities, we have offered in-store pickup of digital orders across all of our locations for years, but we continue to find opportunities to improve execution and we are seeing and continued momentum. Specifically through the first half of the year store pickup volume has grown more than 30% above last year and in July we saw more than 40% growth. As more and more of our guests respond to the convenience of order pickup, we are investing in system enhancements and store labor hours to continue to elevate the guest experience. These investments will be especially important in the fourth quarter holiday season when guests are particularly time pressured and rely on this fulfillment option even more frequently.",0.9181334,0.938
TGT-2017-Q2-2017-08-16,21,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"Another way we can enhance the pickup experience is to offer a drive up option, so guests don't need to leave their cars. And in second quarter we launched the new test of the service, unlike the past when we partnered with third-party to offer this service this new test is being implemented with our own team members and internally developed technology. The offer applies to approximately 180,000 shelf stable items currently eligible for in-store pickup. And in the early stages, we are offering it only to team members in a handful of Twin City stores. However, based on our early results from the test, we expect to move to a guest facing pilot and select Twin Cities locations later in the fall.",4.5693819,0.361
TGT-2017-Q2-2017-08-16,22,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"While the capability for our stores to ship digital orders directly to guest homes was also launched 2 years ago, we are seeing even more rapid growth in this fulfillment mode. For the first half of the year ship from store sales are only about twice as high as last year, accounted for more than 40% of digital units shipped. Since the rollout of this capability we have added new ship from store locations every year. In this fall we plan to roll it out to another 350 stores in advance of the holiday season. This will bring the total number of ship from store locations to more than 1,400 stores. In addition, we are creating additional capacity by ramping up the order volume running through our mature ship from store locations. Because so many of our stores can now ship directly to guests, we have been able to increase delivery speed while still controlling costs and that in turn has allowed us to offer new fulfillment options like Target Restock.",0.9496521,0.935
TGT-2017-Q2-2017-08-16,23,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"This service allows guest to order a shopping cart size box filled with items chosen from an assortment of more than 15,000 essential items like coffee and paper towels and have it shipped to their house for a fixed $4.99 delivery fee. Because these orders are fulfilled from a nearby store location, we can promise that any restock order placed before 2 PM will arrive at a guest home on the following weekday. You will recall that we rapidly developed this capability the team member test in the first quarter and we moved to the next stage of the test in the second quarter rolling out to Twin Cities Red Card holders in late June. Operationally, this guest facing test has gone well and as a result we just rolled out restock to the Dallas and Denver markets and we plan to expand into another seven markets before the holidays. With restock available in these 10 markets we will already be reaching one quarter of the U.S. market less than six months from the day we launched the test.",2.3663528,0.931
TGT-2017-Q2-2017-08-16,24,Remarks,2017-08-16,2,2017,Brian C. Cornell,Chairman & Chief Executive Officer,"Beyond geographic expansion, we began offering restock to non-Red Card holders in all three test markets. We will be extending the delivery window by adding Saturday delivery and will move the cut off for next day delivery later beyond the current 2 PM cutoff. And given the strong store execution we have seen so far, we will begin ramping up communication and marketing efforts in restock markets which will increase awareness in order volume providing visibility into the capacity of our store team to reliably process higher order volumes. Beyond our internal fulfillment capabilities, our team is also working with transportation partners to improve the speed and cost efficiency of last mile delivery.",0.525174,0.836
